long,lat,n_cruce,id_codigo,fecha_inau,anio_inau,dom_orig,dom_norma,origen,observ,nro_nva,instala,horario,fecha_fina,id_usig,objeto,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.470162099365304,-34.6646543007496,9676.0,B-CR-09676,,,"Av. Escalada ""E"" y Castañares",,Coordenada,"Av. Escalada ""E""-Castañares (Fte. Indoamericano)",4.0,TITILANTE NOCTURNO,Todos los días de 21:00 a 07:00hs.,,118,CRUCE SEMAFORIZADO,ESCALADA AV.,,Villa Soldati,Comuna 8,,
-58.470162099365304,-34.6646543007496,9677.0,B-CR-09677,,,"Av. Escalada ""O"" y Castañares ",,Coordenada,"Av. Escalada ""O""-Castañares",4.0,TITILANTE NOCTURNO,Todos los días de 21:00 a 07:00hs.,,119,CRUCE SEMAFORIZADO,SIN NOMBRE OFICIAL (ALT. AV ESCALADA 2850),,Villa Soldati,Comuna 8,,
-58.440299998596004,-34.5985900009453,9722.0,B-CR-09722,,,Diaz Ana y Cuartel de Bomberos (e) S. de la Frontera,,Coordenada,Diaz Ana-Cuartel de Bomberos (e) S. de la Frontera-Cafayate(demanda bombero),4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,120,CRUCE SEMAFORIZADO,,,Villa Crespo,Comuna 15,,
-58.484410998670505,-34.6808248004645,9730.0,B-CR-09730,,,Av. Piedrabuena y Aquino,,Coordenada,Av. Piedrabuena-Aquino (demanda Peatonal),4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,121,CRUCE SEMAFORIZADO,PIEDRA BUENA AV.,,Villa Lugano,Comuna 8,,
-58.4491785988262,-34.6655552009723,9786.0,B-CR-09786,,,Av. Lacarra y Veracruz,,Coordenada,Av. Lacarra-Valparaiso-Veracruz(Premetro),4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,122,CRUCE SEMAFORIZADO,LACARRA AV.,,Villa Soldati,Comuna 8,,
-58.4607399992699,-34.677450000722104,9787.0,B-CR-09787,,,Av. F. F. De La Cruz y Escalada Av.,,Coordenada,Av. F. F. De La Cruz-Escalada Av.(Premetro)(demanda Premetro),4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,123,CRUCE SEMAFORIZADO,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",,Villa Lugano,Comuna 8,,
-58.4657615994789,-34.680284801140004,9797.0,B-CR-09797,,,Av. Larrazabal y Diaz Ana,,Coordenada,Av. Larrazabal- Ana Diaz,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 05:00hs.,,124,CRUCE SEMAFORIZADO,LARRAZABAL AV.,,Villa Lugano,Comuna 8,,
-58.4623438993857,-34.682798901150996,9799.0,B-CR-09799,,,Av. Larrazabal y  Descalzi Nicolas,,Coordenada,Av. Larrazabal-Fte. Estac. Carrillo/Descalzi(Premetro),4.0,TITILANTE NOCTURNO,Todos los días de 19:00 a 07:00hs.,,125,CRUCE SEMAFORIZADO,LARRAZABAL AV.,,Villa Lugano,Comuna 8,,
-58.460289998425296,-34.6844525009813,9800.0,B-CR-09800,,,Av. Larrazabal y Ramírez Comodoro C.,,Coordenada,Av. Larrazabal-Ramírez Comodoro C.(Premetro),4.0,TITILANTE NOCTURNO,Todos los días de 19:00 a 07:00hs.,,126,CRUCE SEMAFORIZADO,LARRAZABAL AV.,,Villa Lugano,Comuna 8,,
-58.454052699184,-34.6831601011125,9914.0,B-CR-09914,,,Av. Cnel. Roca  y  Puerta 8 ,,Coordenada,Av. Cnel. Roca - Puerta 8 (demanda Premetro),4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,127,CRUCE SEMAFORIZADO,,,Villa Lugano,Comuna 8,,
