Id_Hecho,Sexo,Edad
LC-2019-0022348,FEMENINO,74
LC-2019-0022492,FEMENINO,64
LC-2019-0022559,MASCULINO,34
LC-2019-0022606,FEMENINO,36
LC-2019-0022650,FEMENINO,25
LC-2019-0022670,FEMENINO,35
LC-2019-0022790,FEMENINO,43
LC-2019-0023022,MASCULINO,30
LC-2019-0023164,FEMENINO,58
LC-2019-0023309,MASCULINO,41
LC-2019-0023360,MASCULINO,26
LC-2019-0023362,MASCULINO,42
LC-2019-0023485,MASCULINO,22
LC-2019-0023555,MASCULINO,29
LC-2019-0023727,MASCULINO,36
LC-2019-0024103,MASCULINO,45
LC-2019-0024454,MASCULINO,23
LC-2019-0032150,MASCULINO,25
LC-2019-0687058,MASCULINO,34
LC-2019-0688515,MASCULINO,37
LC-2019-0023692,FEMENINO,24
LC-2019-0023692,MASCULINO,24
LC-2019-0023777,MASCULINO,52
LC-2019-0023860,MASCULINO,34
LC-2019-0023860,MASCULINO,34
LC-2019-0023868,MASCULINO,33
LC-2019-0023906,FEMENINO,39
LC-2019-0023906,MASCULINO,39
LC-2019-0023906,MASCULINO,27
LC-2019-0023906,MASCULINO,31
LC-2019-0024257,FEMENINO,70
LC-2019-0024265,FEMENINO,32
LC-2019-0024269,MASCULINO,25
LC-2019-0024408,MASCULINO,27
LC-2019-0024465,MASCULINO,47
LC-2019-0024488,MASCULINO,50
LC-2019-0024600,FEMENINO,35
LC-2019-0024719,MASCULINO,25
LC-2019-0024752,MASCULINO,54
LC-2019-0024755,MASCULINO,34
LC-2019-0024755,FEMENINO,34
LC-2019-0024778,FEMENINO,38
LC-2019-0025473,MASCULINO,75
LC-2019-0033162,FEMENINO,58
LC-2019-0267484,MASCULINO,31
LC-2019-0757409,MASCULINO,59
LC-2019-0024930,MASCULINO,73
LC-2019-0025033,FEMENINO,41
LC-2019-0025067,MASCULINO,31
LC-2019-0025088,MASCULINO,42
LC-2019-0025109,MASCULINO,45
LC-2019-0025109,FEMENINO,45
LC-2019-0025134,FEMENINO,33
LC-2019-0025154,FEMENINO,28
LC-2019-0025411,FEMENINO,33
LC-2019-0025411,MASCULINO,33
LC-2019-0642028,MASCULINO,20
LC-2019-0025428,FEMENINO,41
LC-2019-0025428,FEMENINO,41
LC-2019-0025548,MASCULINO,21
LC-2019-0025548,MASCULINO,21
LC-2019-0378357,MASCULINO,37
LC-2019-0025730,MASCULINO,64
LC-2019-0025730,MASCULINO,64
LC-2019-0052617,MASCULINO,36
LC-2019-0052617,FEMENINO,36
LC-2019-0025021,MASCULINO,74
LC-2019-0025831,MASCULINO,21
LC-2019-0025831,FEMENINO,21
LC-2019-0025841,FEMENINO,48
LC-2019-0025841,FEMENINO,48
LC-2019-0026619,MASCULINO,29
LC-2019-0026635,FEMENINO,20
LC-2019-0026635,MASCULINO,20
LC-2019-0027065,MASCULINO,32
LC-2019-0027083,MASCULINO,40
LC-2019-0027156,MASCULINO,40
LC-2019-0027290,MASCULINO,34
LC-2019-0027336,MASCULINO,60
LC-2019-0027748,MASCULINO,31
LC-2019-0027769,FEMENINO,25
LC-2019-0028203,MASCULINO,29
LC-2019-0028228,MASCULINO,41
LC-2019-0028228,MASCULINO,41
LC-2019-0028384,MASCULINO,25
LC-2019-0028499,MASCULINO,33
LC-2019-0028597,MASCULINO,27
LC-2019-0028641,MASCULINO,33
LC-2019-0028794,MASCULINO,30
LC-2019-0030752,FEMENINO,60
LC-2019-0033421,MASCULINO,28
LC-2019-0028657,FEMENINO,59
LC-2019-0028657,MASCULINO,59
LC-2019-0028657,MASCULINO,32
LC-2019-0028702,MASCULINO,18
LC-2019-0028702,MASCULINO,18
LC-2019-0028731,FEMENINO,32
LC-2019-0304750,MASCULINO,58
LC-2019-0028731,FEMENINO,7
LC-2019-0304750,MASCULINO,58
LC-2019-0028796,MASCULINO,40
LC-2019-0029010,MASCULINO,40
LC-2019-0193078,FEMENINO,62
LC-2019-0029336,MASCULINO,67
LC-2019-0029346,MASCULINO,44
LC-2019-0029347,MASCULINO,62
