,Id,semaforo_15m
521,2020-0035,False
522,2020-0036,True
523,2020-0037,True
524,2020-0038,True
525,2020-0040,False
526,2020-0041,True
527,2020-0042,False
528,2020-0043,True
529,2020-0044,True
530,2020-0045,False
531,2020-0046,True
532,2020-0047,True
533,2020-0048,False
534,2020-0049,True
535,2020-0050,True
536,2020-0051,True
537,2020-0052,True
538,2020-0053,False
539,2020-0054,False
540,2020-0055,False
541,2020-0056,False
542,2020-0057,True
543,2020-0058,True
544,2020-0059,False
545,2020-0060,True
546,2020-0061,False
547,2020-0062,False
548,2020-0063,False
549,2020-0065,False
550,2020-0066,False
551,2020-0067,False
552,2020-0068,True
553,2020-0069,True
554,2020-0070,True
555,2020-0071,True
556,2020-0072,True
557,2020-0073,False
558,2020-0074,True
559,2020-0075,False
560,2020-0076,True
561,2020-0077,True
562,2020-0078,False
563,2020-0079,False
564,2021-0001,False
565,2021-0002,True
566,2021-0003,False
567,2021-0004,False
568,2021-0005,False
569,2021-0006,False
570,2021-0007,False
571,2021-0008,False
572,2021-0009,True
573,2021-0010,False
574,2021-0011,False
575,2021-0012,False
576,2021-0013,True
577,2021-0014,True
578,2021-0015,True
579,2021-0016,True
580,2021-0017,False
581,2021-0018,True
582,2021-0019,True
583,2021-0020,True
584,2021-0021,True
585,2021-0024,True
586,2021-0025,False
587,2021-0026,False
588,2021-0027,False
589,2021-0028,True
590,2021-0029,True
591,2021-0030,False
592,2021-0031,True
593,2021-0032,False
594,2021-0033,False
595,2021-0034,False
596,2021-0035,False
597,2021-0036,False
598,2021-0037,True
599,2021-0038,True
600,2021-0039,True
601,2021-0040,False
602,2021-0041,True
603,2021-0042,False
604,2021-0043,True
605,2021-0044,True
606,2021-0045,True
607,2021-0046,False
608,2021-0047,False
609,2021-0048,False
610,2021-0049,False
611,2021-0050,False
612,2021-0051,False
613,2021-0052,False
614,2021-0053,False
615,2021-0054,False
616,2021-0055,True
617,2021-0056,False
618,2021-0057,False
619,2021-0058,False
620,2021-0059,False
621,2021-0060,True
622,2021-0061,True
623,2021-0062,False
624,2021-0063,False
625,2021-0064,False
626,2021-0065,True
627,2021-0066,False
628,2021-0067,False
629,2021-0068,False
630,2021-0069,False
631,2021-0070,False
632,2021-0071,False
633,2021-0072,True
634,2021-0073,True
635,2021-0074,False
636,2021-0075,True
637,2021-0076,False
638,2021-0077,False
639,2021-0078,True
640,2021-0079,False
641,2021-0080,True
642,2021-0081,True
643,2021-0082,False
644,2021-0083,True
645,2021-0084,True
646,2021-0085,False
647,2021-0086,True
648,2021-0087,False
649,2021-0088,False
650,2021-0089,False
651,2021-0090,True
652,2021-0091,False
653,2021-0092,True
654,2021-0093,False
655,2021-0094,True
656,2021-0095,True
657,2021-0096,False
658,2021-0097,False
659,LC-2019-0000179,False
660,LC-2019-0000053,True
661,LC-2019-0000063,False
662,LC-2019-0000079,False
663,LC-2019-0000082,True
664,LC-2019-0000136,True
665,LC-2019-0000142,False
666,LC-2019-0000194,False
667,LC-2019-0000202,True
668,LC-2019-0000329,False
669,LC-2019-0000347,False
670,LC-2019-0000445,False
671,LC-2019-0000493,False
672,LC-2019-0000600,False
673,LC-2019-0000636,True
674,LC-2019-0000647,False
675,LC-2019-0000686,False
676,LC-2019-0005235,True
677,LC-2019-0002218,False
678,LC-2019-0000963,True
679,LC-2019-0001754,True
680,LC-2019-0001879,False
681,LC-2019-0001948,False
682,LC-2019-0001987,False
683,LC-2019-0001992,False
684,LC-2019-0002083,False
685,LC-2019-0002208,True
686,LC-2019-0002740,False
687,LC-2019-0003220,True
688,LC-2019-0003340,True
689,LC-2019-0005610,True
690,LC-2019-0020183,True
691,LC-2019-0003428,True
692,LC-2019-0003432,True
693,LC-2019-0003642,True
694,LC-2019-0003787,True
695,LC-2019-0003862,True
696,LC-2019-0003884,True
697,LC-2019-0004144,True
698,LC-2019-0004229,False
699,LC-2019-0004442,True
700,LC-2019-0004565,False
701,LC-2019-0004621,True
702,LC-2019-0004622,False
703,LC-2019-0004652,False
704,LC-2019-0004717,False
705,LC-2019-0004718,True
706,LC-2019-0005334,False
707,LC-2019-0005614,False
708,LC-2019-0005622,True
709,LC-2019-0005638,False
710,LC-2019-0005647,False
711,LC-2019-0005681,False
712,LC-2019-0005764,False
713,LC-2019-0005815,True
714,LC-2019-0005979,True
715,LC-2019-0007021,False
716,LC-2019-0007536,False
717,LC-2019-0006068,False
718,LC-2019-0006306,True
719,LC-2019-0006547,True
720,LC-2019-0006638,False
721,LC-2019-0006659,False
722,LC-2019-0006789,False
723,LC-2019-0006837,False
724,LC-2019-0006857,False
725,LC-2019-0007002,False
726,LC-2019-0007187,False
727,LC-2019-0007294,False
728,LC-2019-0007336,False
729,LC-2019-0007660,False
730,LC-2019-0007701,False
731,LC-2019-0007778,False
732,LC-2019-0008077,True
733,LC-2019-0008227,False
734,LC-2019-0008238,False
735,LC-2019-0008314,True
736,LC-2019-0008367,False
737,LC-2019-0008388,True
738,LC-2019-0008467,False
739,LC-2019-0008493,False
740,LC-2019-0008496,False
741,LC-2019-0008565,False
742,LC-2019-0008566,False
743,LC-2019-0011897,True
744,LC-2019-0017883,True
745,LC-2019-0020135,True
746,LC-2019-0020930,True
747,LC-2019-0267364,True
748,LC-2019-0009312,False
749,LC-2019-0052387,False
750,LC-2019-0008603,False
751,LC-2019-0008860,False
752,LC-2019-0008916,False
753,LC-2019-0008924,False
754,LC-2019-0009068,False
755,LC-2019-0009123,False
756,LC-2019-0009194,False
757,LC-2019-0009305,False
758,LC-2019-0009325,True
759,LC-2019-0009392,False
760,LC-2019-0009580,False
761,LC-2019-0009722,False
762,LC-2019-0009807,False
763,LC-2019-0010031,False
764,LC-2019-0010621,False
765,LC-2019-0012840,False
766,LC-2019-0010050,True
767,LC-2019-0010105,False
768,LC-2019-0010145,False
769,LC-2019-0010228,False
770,LC-2019-0010301,True
771,LC-2019-0010436,True
772,LC-2019-0010649,True
773,LC-2019-0010661,False
774,LC-2019-0010730,True
775,LC-2019-0010814,False
776,LC-2019-0010884,False
777,LC-2019-0013589,True
778,LC-2019-0021745,False
779,LC-2019-0011004,True
780,LC-2019-0011053,True
781,LC-2019-0011431,False
782,LC-2019-0011534,False
783,LC-2019-0011575,False
784,LC-2019-0011908,False
785,LC-2019-0012172,False
786,LC-2019-0012293,False
787,LC-2019-0012508,False
788,LC-2019-0012578,True
789,LC-2019-0012580,False
790,LC-2019-0012638,False
791,LC-2019-0012821,False
792,LC-2019-0012823,False
793,LC-2019-0013193,True
794,LC-2019-0013235,False
795,LC-2019-0013261,False
796,LC-2019-0013370,True
797,LC-2019-0013412,False
798,LC-2019-0013440,True
799,LC-2019-0013452,False
800,LC-2019-0013652,False
801,LC-2019-0013857,True
802,LC-2019-0015962,True
803,LC-2019-0013801,True
804,LC-2019-0014314,False
805,LC-2019-0014448,False
806,LC-2019-0014787,False
807,LC-2019-0013840,True
808,LC-2019-0013850,True
809,LC-2019-0014140,True
810,LC-2019-0014220,False
811,LC-2019-0014442,False
812,LC-2019-0014503,False
813,LC-2019-0014534,False
814,LC-2019-0014580,False
815,LC-2019-0014644,True
816,LC-2019-0014790,True
817,LC-2019-0014956,True
818,LC-2019-0015085,True
819,LC-2019-0015193,True
820,LC-2019-0015241,False
821,LC-2019-0015361,True
822,LC-2019-0015585,True
823,LC-2019-0015614,False
824,LC-2019-0015617,False
825,LC-2019-0015700,False
826,LC-2019-0015822,True
827,LC-2019-0015879,False
828,LC-2019-0016012,False
829,LC-2019-0016105,False
830,LC-2019-0016278,False
831,LC-2019-0030754,True
832,LC-2019-0016388,True
833,LC-2019-0016581,False
834,LC-2019-0016613,False
835,LC-2019-0017068,True
836,LC-2019-0017182,False
837,LC-2019-0017460,False
838,LC-2019-0017504,False
839,LC-2019-0017514,False
840,LC-2019-0017561,True
841,LC-2019-0018006,True
842,LC-2019-0018207,False
843,LC-2019-0018425,False
844,LC-2019-0018474,False
845,LC-2019-0018500,False
846,LC-2019-0018518,True
847,LC-2019-0018592,False
848,LC-2019-0018630,False
849,LC-2019-0018751,True
850,LC-2019-0021352,False
851,LC-2019-0022439,False
852,LC-2019-0031883,False
853,LC-2019-0018873,False
854,LC-2019-0019243,True
855,LC-2019-0020257,False
856,LC-2019-0020260,True
857,LC-2019-0020420,True
858,LC-2019-0020451,True
859,LC-2019-0020496,True
860,LC-2019-0020569,True
861,LC-2019-0020951,False
862,LC-2019-0020989,True
863,LC-2019-0021079,False
864,LC-2019-0021335,True
865,LC-2019-0021415,True
866,LC-2019-0093543,False
867,LC-2019-0022275,False
868,LC-2019-0022650,False
869,LC-2019-0023488,False
870,LC-2019-0024103,False
871,LC-2019-0021365,False
872,LC-2019-0021434,True
873,LC-2019-0021709,False
874,LC-2019-0021896,True
875,LC-2019-0022026,True
876,LC-2019-0022105,False
877,LC-2019-0022106,True
878,LC-2019-0022174,True
879,LC-2019-0022273,True
880,LC-2019-0022298,True
881,LC-2019-0022348,True
882,LC-2019-0022492,False
883,LC-2019-0022559,False
884,LC-2019-0022606,True
885,LC-2019-0022670,False
886,LC-2019-0022774,False
887,LC-2019-0022790,True
888,LC-2019-0023022,True
889,LC-2019-0023164,True
890,LC-2019-0023309,True
891,LC-2019-0023360,True
892,LC-2019-0023362,False
893,LC-2019-0023485,True
894,LC-2019-0023539,True
895,LC-2019-0023555,False
896,LC-2019-0023599,False
897,LC-2019-0023727,False
