Id_Hecho,Sexo,Edad
2018-0107,FEMENINO,62
2018-0108,MASCULINO,37
2018-0109,MASCULINO,34
2018-0110,MASCULINO,60
2018-0111,MASCULINO,28
2018-0112,FEMENINO,28
2018-0113,MASCULINO,20
2018-0114,MASCULINO,23
2018-0115,MASCULINO,42
2018-0116,MASCULINO,48
2018-0117,MASCULINO,30
2018-0118,FEMENINO,80
2018-0119,FEMENINO,32
2018-0120,FEMENINO,51
2018-0121,FEMENINO,72
2018-0122,MASCULINO,33
2018-0123,MASCULINO,25
2018-0124,MASCULINO,44
2018-0125,MASCULINO,29
2018-0126,MASCULINO,27
2018-0127,MASCULINO,29
2018-0128,MASCULINO,49
2018-0129,MASCULINO,37
2018-0131,MASCULINO,29
2018-0132,MASCULINO,70
2018-0133,FEMENINO,60
2018-0134,MASCULINO,56
2018-0135,MASCULINO,80
2018-0136,FEMENINO,70
2018-0137,MASCULINO,29
2018-0138,FEMENINO,79
2018-0139,MASCULINO,28
2018-0140,MASCULINO,78
2018-0141,MASCULINO,75
2018-0142,MASCULINO,32
2018-0143,MASCULINO,22
2019-0001,MASCULINO,25
2019-0002,MASCULINO,32
2019-0003,MASCULINO,23
2019-0004,MASCULINO,71
2019-0005,MASCULINO,43
2019-0006,FEMENINO,12
2019-0007,MASCULINO,35
2019-0008,MASCULINO,42
2019-0009,MASCULINO,34
2019-0010,MASCULINO,59
2019-0012,MASCULINO,31
2019-0013,MASCULINO,39
2019-0014,MASCULINO,69
2019-0015,MASCULINO,21
2019-0016,MASCULINO,40
2019-0017,MASCULINO,22
2019-0018,FEMENINO,29
2019-0020,MASCULINO,43
2019-0021,MASCULINO,23
2019-0023,MASCULINO,34
2019-0024,MASCULINO,32
2019-0025,MASCULINO,27
2019-0027,MASCULINO,37
2019-0029,MASCULINO,27
2019-0030,MASCULINO,25
2019-0031,MASCULINO,20
2019-0032,FEMENINO,83
2019-0033,MASCULINO,25
2019-0035,FEMENINO,75
2019-0036,MASCULINO,34
2019-0037,MASCULINO,17
2019-0038,FEMENINO,42
2019-0105,FEMENINO,82
2019-0039,MASCULINO,28
2019-0040,MASCULINO,44
2019-0041,FEMENINO,78
2019-0042,MASCULINO,39
2019-0044,FEMENINO,77
2019-0045,MASCULINO,33
2019-0046,FEMENINO,26
2019-0047,MASCULINO,76
2019-0048,MASCULINO,32
2019-0049,FEMENINO,72
2019-0050,MASCULINO,21
2019-0051,MASCULINO,41
2019-0053,MASCULINO,49
2019-0054,MASCULINO,21
2019-0055,MASCULINO,47
2019-0056,FEMENINO,75
2019-0057,FEMENINO,63
2019-0058,MASCULINO,39
2019-0059,MASCULINO,30
2019-0060,FEMENINO,78
2019-0061,FEMENINO,58
2019-0062,FEMENINO,60
2019-0064,MASCULINO,20
2019-0065,FEMENINO,55
2019-0066,MASCULINO,40
2019-0067,MASCULINO,35
2019-0068,MASCULINO,53
2019-0069,MASCULINO,43
2019-0070,MASCULINO,25
2019-0072,MASCULINO,22
2019-0073,MASCULINO,29
2019-0074,MASCULINO,35
2019-0075,MASCULINO,31
2019-0076,FEMENINO,29
2019-0077,FEMENINO,28
2019-0078,FEMENINO,72
2019-0079,MASCULINO,57
2019-0080,MASCULINO,76
2019-0081,MASCULINO,67
2019-0082,MASCULINO,47
2019-0083,MASCULINO,73
2019-0084,FEMENINO,40
2019-0085,MASCULINO,20
2019-0086,MASCULINO,29
2019-0087,MASCULINO,41
2019-0088,MASCULINO,27
2019-0089,FEMENINO,92
2019-0090,MASCULINO,67
2019-0091,MASCULINO,35
2019-0092,MASCULINO,37
2019-0093,MASCULINO,16
2019-0096,MASCULINO,73
2019-0097,FEMENINO,23
2019-0098,FEMENINO,61
2019-0100,MASCULINO,38
2019-0101,MASCULINO,25
2019-0102,MASCULINO,18
2019-0103,MASCULINO,24
2019-0104,FEMENINO,23
2020-0001,FEMENINO,87
2020-0002,MASCULINO,36
2020-0003,MASCULINO,44
2020-0004,MASCULINO,82
2020-0005,MASCULINO,25
2020-0006,MASCULINO,23
2020-0007,MASCULINO,52
2020-0008,MASCULINO,49
2020-0009,MASCULINO,48
2020-0011,MASCULINO,31
2020-0012,FEMENINO,66
2020-0013,FEMENINO,58
2020-0015,MASCULINO,29
2020-0016,MASCULINO,68
2020-0018,MASCULINO,31
2020-0019,FEMENINO,80
2020-0020,FEMENINO,74
2020-0021,FEMENINO,87
2020-0022,MASCULINO,44
2020-0023,MASCULINO,44
2020-0024,MASCULINO,53
2020-0026,MASCULINO,28
2020-0027,MASCULINO,76
2020-0028,MASCULINO,91
2020-0029,MASCULINO,80
2020-0030,MASCULINO,40
2020-0031,MASCULINO,29
2020-0032,MASCULINO,21
2020-0033,MASCULINO,32
2020-0035,MASCULINO,40
2020-0036,MASCULINO,72
2020-0037,MASCULINO,38
2020-0038,MASCULINO,46
2020-0039,MASCULINO,44
2020-0041,MASCULINO,34
2020-0042,FEMENINO,53
2020-0043,MASCULINO,64
2020-0044,MASCULINO,43
2020-0045,MASCULINO,50
2020-0046,MASCULINO,41
2020-0047,MASCULINO,15
2020-0048,MASCULINO,41
2020-0049,MASCULINO,36
2020-0050,FEMENINO,28
2020-0051,MASCULINO,49
2020-0052,MASCULINO,44
2020-0053,MASCULINO,27
2020-0054,MASCULINO,59
2020-0055,MASCULINO,91
2020-0056,FEMENINO,34
2020-0057,MASCULINO,84
2020-0058,MASCULINO,57
2020-0059,FEMENINO,49
2020-0060,FEMENINO,69
2020-0061,MASCULINO,45
2020-0062,MASCULINO,47
2020-0063,MASCULINO,38
2020-0065,MASCULINO,24
2020-0066,MASCULINO,27
2020-0067,MASCULINO,51
2020-0068,MASCULINO,71
2020-0069,MASCULINO,25
2020-0070,FEMENINO,81
2020-0071,MASCULINO,4
2020-0072,MASCULINO,42
2020-0073,MASCULINO,56
