Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado
2017-0085,1,2017-07-07,14,AVENIDA,TACUARI,True,4,-58.37261143,-34.63150425,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0086,1,2017-07-09,7,AVENIDA,RIVADAVIA AV.,True,9,-58.51876802,-34.63905965,PEATON-MOTO,PEATON,MOTO
2017-0087,1,2017-07-10,10,CALLE,24 DE NOVIEMBRE,False,3,-58.41095567,-34.61516101,PEATON-AUTO,PEATON,AUTO
2017-0088,1,2017-07-10,22,AVENIDA,PASEO COLON AV.,True,1,-58.36797542,-34.62519403,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0090,1,2017-07-15,5,GRAL PAZ,CHIVILCOY AV.,True,11,-58.51925642,-34.59171721,PEATON-AUTO,PEATON,AUTO
2017-0092,1,2017-07-24,22,AUTOPISTA,AUTOPISTA 25 DE MAYO,True,1,-58.38268809,-34.62282019,PEATON-AUTO,PEATON,AUTO
2017-0093,1,2017-07-25,16,AUTOPISTA,"LUGONES, LEOPOLDO AV.",True,13,-58.43633522,-34.54966288,PEATON-AUTO,PEATON,AUTO
2017-0094,1,2017-07-27,8,CALLE,"HUGO, VICTOR",False,10,-58.52640838,-34.61765855,BICICLETA-CARGAS,BICICLETA,CARGAS
2017-0095,1,2017-08-06,8,AVENIDA,CORDOBA AV.,True,14,-58.41894306,-34.59778875,MOTO-AUTO,MOTO,AUTO
2017-0096,1,2017-08-07,19,AVENIDA,CABILDO AV.,True,13,-58.46756026,-34.54972741,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0098,1,2017-08-08,12,CALLE,"BONIFACIO, JOSE",False,7,-58.45715752,-34.63132912,PEATON-AUTO,PEATON,AUTO
2017-0099,1,2017-08-17,19,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",False,14,-58.42406784,-34.56213916,BICICLETA-AUTO,BICICLETA,AUTO
2017-0100,1,2017-08-21,7,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,False,3,-58.3967447,-34.61512051,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0101,1,2017-08-23,10,AVENIDA,"LACROZE, FEDERICO AV.",True,13,-58.44537508,-34.57084818,MULTIPLE,PEATON,MULTIPLE
2017-0102,1,2017-08-24,1,AVENIDA,"IRIARTE, GRAL. AV.",True,4,-58.40056767,-34.6510708,PEATON-CARGAS,PEATON,CARGAS
2017-0104,1,2017-08-25,9,AVENIDA,9 DE JULIO AV.,True,1,-58.38109568,-34.61853244,PEATON-CARGAS,PEATON,CARGAS
2017-0106,1,2017-08-31,19,CALLE,FRAY JUSTO SANTAMARIA DE ORO,True,14,-58.42533612,-34.58035258,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0107,1,2017-09-01,11,AVENIDA,DEL LIBERTADOR AV.,True,13,-58.46062311,-34.54395182,MOTO-CARGAS,MOTO,CARGAS
2017-0108,2,2017-09-02,4,GRAL PAZ,"PAZ, GRAL. AV.",True,12,-58.49491054,-34.54795581,AUTO-OBJETO FIJO,OBJETO FIJO,AUTO
