Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado,Dataset,semaforo_30m,semaforo_15m
2016-0075,1,2016-06-12,23,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,homicidio,True,True
2016-0076,1,2016-06-13,16,AVENIDA,SAN MARTIN AV.,True,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0077,1,2016-06-13,21,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",True,1,-58.3702777,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,False,False
2016-0078,1,2016-06-13,23,AVENIDA,BELGRANO AV.,True,3,-58.40491455,-34.6146383,MOTO-MOTO,MOTO,MOTO,homicidio,True,True
2016-0079,1,2016-06-16,17,AVENIDA,DEL LIBERTADOR AV.,True,13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,homicidio,False,False
2016-0081,1,2016-06-22,7,AVENIDA,"LARRALDE, CRISOLOGO AV.",True,12,-58.4872106,-34.55904606,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2016-0082,1,2016-06-27,18,AVENIDA,LA PLATA AV.,False,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,homicidio,False,False
2016-0083,1,2016-06-28,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,homicidio,True,True
2016-0084,1,2016-06-29,22,CALLE,"PELLEGRINI, CARLOS",True,1,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0085,1,2016-06-29,22,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",True,4,-58.42378834,-34.657341,MOTO-MOVIL,MOTO,OTRO,homicidio,False,False
2016-0086,1,2016-06-30,16,AVENIDA,OLIVERA AV.,True,10,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0087,1,2016-07-02,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,1,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,homicidio,False,False
2016-0088,1,2016-07-11,15,CALLE,CERETTI,True,12,-58.5015175,-34.56767549,PEATON-AUTO,PEATON,AUTO,homicidio,False,False
2016-0089,1,2016-07-14,6,AUTOPISTA,"LUGONES, LEOPOLDO AV.",True,13,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO,homicidio,False,False
2016-0090,1,2016-07-14,22,AVENIDA,"SALGUERO, JERONIMO",True,5,-58.41971993,-34.6111224,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0092,1,2016-07-15,11,GRAL PAZ,"PAZ, GRAL. AV.",True,13,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2016-0093,1,2016-07-17,3,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,6,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO,homicidio,True,True
2016-0095,1,2016-07-23,6,AVENIDA,MERCEDES,True,11,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO,homicidio,True,True
2016-0096,1,2016-07-25,7,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,False,8,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2016-0097,1,2016-07-26,18,CALLE,SOLIS,True,1,-58.39038605,-34.6156281,PEATON-AUTO,PEATON,AUTO,homicidio,True,True
2016-0098,1,2016-07-27,16,AVENIDA,SAN JUAN AV.,True,3,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS,homicidio,True,True
2016-0099,1,2016-07-29,16,GRAL PAZ,MOSCONI GENERAL AV.,True,11,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,homicidio,False,False
2016-0100,1,2016-08-03,23,GRAL PAZ,"PAZ, GRAL. AV.",True,12,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,homicidio,False,False
2016-0102,1,2016-08-10,23,AVENIDA,"PERON, EVA AV.",True,9,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2016-0104,1,2016-08-14,21,AVENIDA,ZINNY,True,9,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,False,False
2016-0105,1,2016-08-17,0,AVENIDA,"LACROZE, FEDERICO AV.",True,15,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0106,1,2016-08-19,21,AVENIDA,"PELLEGRINI, CARLOS",True,1,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0107,1,2016-08-20,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,4,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
